"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2999","Given I am on the login page","","Fri Mar 21 08:58:01 WIB 2025","passed","Fri Mar 21 08:58:04 WIB 2025","","The Internet Guinea Pig Website: As a user, I can log into the secure area","",""
"","1023","Then I should see error message","","Fri Mar 21 09:30:08 WIB 2025","passed","Fri Mar 21 09:30:09 WIB 2025","","Good Doctor - Portal: As a user, I can not log into the good doctor portal","",""
"","1075","Given I am on the login page","","Fri Mar 21 08:12:36 WIB 2025","passed","Fri Mar 21 08:12:37 WIB 2025","","The Internet Guinea Pig Website: As a user, I can log into the secure area","",""
"","51","When I click forgot password, and input incorrect email","","Fri Mar 21 09:10:32 WIB 2025","broken","Fri Mar 21 09:10:32 WIB 2025","","Good Doctor - Portal: As a user, I can not doing forgot password","",""
"","12499","When I login with tomsmith and SuperSecretPassword!","","Fri Mar 21 08:12:23 WIB 2025","broken","Fri Mar 21 08:12:36 WIB 2025","","The Internet Guinea Pig Website: As a user, I can log into the secure area","",""
"","583","Given I am on the login page","","Fri Mar 21 09:28:36 WIB 2025","passed","Fri Mar 21 09:28:37 WIB 2025","","Good Doctor - Portal: As a user, I can not doing forgot password","",""
"","639","Then I should see a flash message saying You logged into a secure area!","","Thu Mar 20 21:20:33 WIB 2025","passed","Thu Mar 20 21:20:34 WIB 2025","","The Internet Guinea Pig Website: As a user, I can log into the secure area","",""
"","206","When I login with tomsmith and SuperSecretPassword!","","Fri Mar 21 08:21:29 WIB 2025","passed","Fri Mar 21 08:21:29 WIB 2025","","The Internet Guinea Pig Website: As a user, I can log into the secure area","",""
"","1","hook:","","Fri Mar 21 09:28:37 WIB 2025","failed","Fri Mar 21 09:28:37 WIB 2025","","","",""
"","117","When I click forgot password, and input incorrect email tomsmith@gmail.com","","Fri Mar 21 09:28:37 WIB 2025","passed","Fri Mar 21 09:28:37 WIB 2025","","Good Doctor - Portal: As a user, I can not doing forgot password","",""
"","1430","When I login with tomsmith@gmail.com and SuperSecretPassword!","","Fri Mar 21 08:58:04 WIB 2025","passed","Fri Mar 21 08:58:05 WIB 2025","","The Internet Guinea Pig Website: As a user, I can log into the secure area","",""
"","543","Then I should see error when input incorrect email","","Fri Mar 21 09:28:37 WIB 2025","passed","Fri Mar 21 09:28:37 WIB 2025","","Good Doctor - Portal: As a user, I can not doing forgot password","",""
"","18","Then I should see a flash message saying Your username is invalid!","","Thu Mar 20 21:20:35 WIB 2025","passed","Thu Mar 20 21:20:35 WIB 2025","","The Internet Guinea Pig Website: As a user, I can log into the secure area","",""
"","112","When I login with foobar and barfoo","","Fri Mar 21 08:21:30 WIB 2025","passed","Fri Mar 21 08:21:30 WIB 2025","","The Internet Guinea Pig Website: As a user, I can log into the secure area","",""
"","11831","When I login with foobar and barfoo","","Fri Mar 21 08:12:37 WIB 2025","broken","Fri Mar 21 08:12:48 WIB 2025","","The Internet Guinea Pig Website: As a user, I can log into the secure area","",""
"","0","hook:","","Fri Mar 21 08:58:05 WIB 2025","failed","Fri Mar 21 08:58:05 WIB 2025","","","",""
"","4055","Given I am on the login page","","Fri Mar 21 09:30:04 WIB 2025","passed","Fri Mar 21 09:30:08 WIB 2025","","Good Doctor - Portal: As a user, I can not log into the good doctor portal","",""
"","191","When I login with incorrect tomsmith@gmail.com and SuperSecretPassword!","","Fri Mar 21 09:30:08 WIB 2025","passed","Fri Mar 21 09:30:08 WIB 2025","","Good Doctor - Portal: As a user, I can not log into the good doctor portal","",""
"","0","hook:","","Fri Mar 21 09:30:09 WIB 2025","failed","Fri Mar 21 09:30:09 WIB 2025","","","",""
"","10206","Then I should see error message","","Fri Mar 21 09:12:48 WIB 2025","failed","Fri Mar 21 09:12:58 WIB 2025","","Good Doctor - Portal: As a user, I can not doing forgot password","",""
